DNA	cDNA						
number of samples with rel abundance above 5 %	number of samples with rel abundance above 5 %	genus	family	order	class	phylum	whole_tax
87	89	Ferrovibrio	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Ferrovibrio_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria
84	85	Hoeflea	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Hoeflea_Phyllobacteriaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria
83	88	uncultured	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	uncultured_Rhodospirillaceae_Rhodospirillales_Alphaproteobacteria_Proteobacteria
80	93	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Pseudomonas_Pseudomonadaceae_Pseudomonadales_Gammaproteobacteria_Proteobacteria
75	0	Blastomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Blastomonas_Sphingomonadaceae_Sphingomonadales_Alphaproteobacteria_Proteobacteria
35	7	Rhodobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Rhodobacter_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria
19	24	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Limnohabitans_Comamonadaceae_Burkholderiales_Betaproteobacteria_Proteobacteria
8	0	Rhizobium	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Rhizobium_Rhizobiaceae_Rhizobiales_Alphaproteobacteria_Proteobacteria
6	0	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Massilia_Oxalobacteraceae_Burkholderiales_Betaproteobacteria_Proteobacteria
5	3	uncultured	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	uncultured_Rhodobacteraceae_Rhodobacterales_Alphaproteobacteria_Proteobacteria
4	0	Methylotenera	Methylophilaceae	Methylophilales	Betaproteobacteria	Proteobacteria	Methylotenera_Methylophilaceae_Methylophilales_Betaproteobacteria_Proteobacteria
3	3	Cupriavidus	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Cupriavidus_Burkholderiaceae_Burkholderiales_Betaproteobacteria_Proteobacteria
